vehicletype;price
;480.0
coupe;18300.0
suv;9800.0
kleinwagen;1500.0
kleinwagen;3600.0
limousine;650.0
cabrio;2200.0
limousine;0.0
bus;14500.0
kleinwagen;999.0
limousine;2000.0
kombi;2799.0
kombi;999.0
kombi;2500.0
suv;17999.0
kleinwagen;450.0
;300.0
kleinwagen;1750.0
bus;7550.0
bus;1850.0
coupe;10400.0
limousine;3699.0
;2900.0
kleinwagen;450.0
limousine;500.0
kombi;2500.0
;5555.0
limousine;6900.0
bus;1990.0
kleinwagen;690.0
limousine;3300.0
;899.0
limousine;245.0
limousine;18000.0
limousine;3500.0
;350.0
andere;1600.0
;1500.0
andere;11900.0
bus;1500.0
;0.0
limousine;7500.0
limousine;12500.0
limousine;6990.0
kleinwagen;3900.0
kleinwagen;590.0
limousine;7999.0
kombi;2100.0
;7750.0
bus;13500.0
cabrio;14800.0
;2000.0
;1400.0
limousine;7999.0
kombi;4700.0
kombi;550.0
coupe;39600.0
cabrio;3000.0
;2399.0
limousine;1000.0
suv;1.0
coupe;200.0
limousine;7499.0
kleinwagen;5500.0
limousine;7000.0
cabrio;14999.0
;10900.0
coupe;9700.0
suv;2100.0
limousine;1280.0
coupe;1200.0
kleinwagen;800.0
;2300.0
kleinwagen;750.0
kombi;7999.0
limousine;6600.0
kleinwagen;7999.0
andere;1400.0
;800.0
bus;5000.0
limousine;20300.0
;150.0
kombi;250.0
kleinwagen;350.0
limousine;600.0
kombi;3300.0
kombi;1600.0
suv;8000.0
bus;1800.0
kleinwagen;6800.0
bus;2990.0
limousine;1.0
limousine;2400.0
limousine;1222.0
;250.0
kleinwagen;14500.0
;8390.0
limousine;3850.0
limousine;23490.0
bus;6450.0
kleinwagen;1700.0
bus;4290.0
kombi;1500.0
limousine;499.0
coupe;22999.0
limousine;6500.0
kombi;900.0
limousine;650.0
cabrio;300.0
coupe;3399.0
kombi;1300.0
;900.0
limousine;7300.0
cabrio;8599.0
kleinwagen;350.0
;0.0
kombi;5900.0
limousine;6300.0
coupe;3500.0
kleinwagen;0.0
limousine;5950.0
kleinwagen;1699.0
bus;4699.0
limousine;400.0
kleinwagen;9290.0
limousine;7000.0
kleinwagen;1199.0
limousine;1750.0
limousine;1000.0
limousine;1800.0
;8000.0
bus;1100.0
kombi;2990.0
kleinwagen;300.0
;3390.0
kombi;2750.0
kombi;6990.0
cabrio;4800.0
limousine;14499.0
limousine;1450.0
limousine;4300.0
limousine;2499.0
limousine;3450.0
limousine;350.0
kombi;3550.0
bus;8250.0
kleinwagen;800.0
kombi;1500.0
suv;41900.0
kombi;4200.0
;150.0
kleinwagen;1000.0
;300.0
limousine;800.0
limousine;2300.0
kombi;4000.0
kleinwagen;6799.0
bus;0.0
cabrio;9450.0
;0.0
;14500.0
limousine;6890.0
suv;7500.0
limousine;800.0
kleinwagen;1499.0
kleinwagen;500.0
kombi;1495.0
kleinwagen;300.0
;1200.0
limousine;850.0
bus;8500.0
kombi;300.0
limousine;1500.0
limousine;950.0
kleinwagen;3200.0
bus;11890.0
coupe;2900.0
cabrio;19750.0
cabrio;9800.0
kleinwagen;1990.0
bus;10500.0
limousine;11000.0
bus;300.0
kombi;2390.0
kombi;16449.0
kombi;2999.0
;3000.0
limousine;14300.0
kleinwagen;5999.0
kombi;3700.0
bus;8999.0
limousine;14000.0
coupe;25000.0
limousine;2790.0
limousine;13400.0
bus;4900.0
limousine;11299.0
andere;550.0
kleinwagen;1400.0
coupe;1200.0
kombi;9500.0
kombi;1800.0
;2800.0
kombi;3200.0
kleinwagen;1350.0
kombi;11000.0
;1999.0
cabrio;6900.0
limousine;1600.0
kombi;12999.0
kombi;18400.0
limousine;999.0
limousine;14900.0
kleinwagen;500.0
kleinwagen;1200.0
limousine;1250.0
kleinwagen;370.0
kombi;1000.0
limousine;350.0
coupe;8600.0
;2100.0
cabrio;2222.0
;850.0
limousine;11800.0
bus;4000.0
kombi;4650.0
kleinwagen;1450.0
;900.0
kombi;800.0
kombi;1600.0
limousine;2800.0
kombi;5499.0
limousine;5500.0
kombi;0.0
suv;1000.0
kombi;22290.0
;3750.0
bus;1440.0
kleinwagen;1150.0
limousine;15700.0
coupe;899.0
kombi;130.0
kombi;9200.0
bus;3350.0
kleinwagen;2700.0
bus;800.0
coupe;10200.0
limousine;9800.0
limousine;14700.0
limousine;1200.0
limousine;895.0
kleinwagen;950.0
limousine;8000.0
limousine;6799.0
kleinwagen;500.0
kleinwagen;11919.0
coupe;25900.0
kleinwagen;300.0
kleinwagen;10800.0
limousine;650.0
kombi;800.0
kleinwagen;1690.0
cabrio;3650.0
bus;4850.0
;450.0
limousine;1450.0
kombi;4500.0
kombi;3900.0
bus;26999.0
kombi;750.0
limousine;5900.0
limousine;56900.0
limousine;1100.0
coupe;48000.0
kleinwagen;8400.0
limousine;1.0
limousine;800.0
suv;27500.0
bus;14950.0
cabrio;14900.0
limousine;2950.0
coupe;1500.0
suv;12000.0
kombi;2500.0
cabrio;2400.0
;4600.0
coupe;6000.0
kleinwagen;8950.0
limousine;590.0
;150.0
coupe;18700.0
limousine;9500.0
coupe;11550.0
;1250.0
limousine;2400.0
suv;16150.0
bus;3400.0
coupe;3000.0
limousine;5500.0
limousine;2000.0
kleinwagen;300.0
limousine;890.0
;2390.0
;1450.0
limousine;1699.0
bus;2899.0
limousine;4800.0
limousine;6799.0
bus;3400.0
limousine;2650.0
kleinwagen;1000.0
coupe;800.0
cabrio;5299.0
limousine;7150.0
;200.0
coupe;2300.0
kombi;1600.0
;350.0
bus;5500.0
kleinwagen;4400.0
limousine;7950.0
coupe;16500.0
cabrio;8100.0
;3999.0
kleinwagen;9750.0
limousine;7700.0
cabrio;2500.0
kleinwagen;1195.0
kombi;9790.0
kleinwagen;1849.0
kleinwagen;3300.0
kombi;650.0
coupe;2600.0
kombi;11700.0
bus;600.0
kombi;4950.0
kleinwagen;1600.0
cabrio;8499.0
;1650.0
limousine;1700.0
limousine;5750.0
bus;600.0
;0.0
limousine;8700.0
kombi;1200.0
bus;18880.0
kombi;11200.0
limousine;3550.0
kleinwagen;3900.0
limousine;13849.0
suv;13200.0
kombi;2500.0
kleinwagen;2550.0
kombi;3900.0
limousine;2450.0
kleinwagen;500.0
kombi;750.0
bus;1799.0
kleinwagen;950.0
kleinwagen;8150.0
coupe;3900.0
kleinwagen;5500.0
kleinwagen;9999.0
;1050.0
kombi;500.0
limousine;699.0
cabrio;999.0
limousine;6250.0
bus;10000.0
kleinwagen;300.0
coupe;16500.0
limousine;6500.0
cabrio;49500.0
;1200.0
cabrio;1480.0
kleinwagen;1490.0
kombi;3200.0
kombi;3250.0
kleinwagen;3400.0
kleinwagen;1100.0
limousine;1750.0
kombi;3300.0
kleinwagen;1350.0
kleinwagen;8250.0
kleinwagen;2500.0
kombi;3999.0
suv;21500.0
limousine;7000.0
bus;2950.0
kleinwagen;4850.0
kleinwagen;1100.0
limousine;3600.0
limousine;7750.0
kleinwagen;2950.0
;400.0
kombi;6880.0
bus;5600.0
limousine;10550.0
;1000.0
limousine;17500.0
kleinwagen;999.0
;3400.0
kombi;2000.0
;2350.0
;6250.0
limousine;2700.0
kleinwagen;500.0
cabrio;5555.0
limousine;8450.0
cabrio;2750.0
kleinwagen;650.0
limousine;680.0
kleinwagen;444.0
kleinwagen;4650.0
kleinwagen;4450.0
kleinwagen;1999.0
bus;9650.0
limousine;2700.0
bus;2200.0
;1.0
;4500.0
limousine;3850.0
suv;15500.0
cabrio;90500.0
andere;13950.0
limousine;3400.0
kleinwagen;11500.0
;0.0
kombi;2800.0
kleinwagen;120.0
limousine;1490.0
kombi;650.0
suv;1199.0
kombi;350.0
cabrio;3200.0
limousine;4000.0
kombi;6450.0
kleinwagen;1690.0
limousine;1750.0
limousine;2990.0
;1299.0
kombi;11000.0
kleinwagen;1000.0
kleinwagen;3950.0
kombi;650.0
andere;5500.0
coupe;1299.0
;1300.0
bus;5800.0
kombi;7600.0
kombi;13499.0
kleinwagen;1490.0
limousine;5500.0
limousine;2350.0
;3000.0
;1950.0
bus;6350.0
bus;750.0
limousine;1500.0
limousine;8500.0
kombi;4300.0
kombi;850.0
limousine;6700.0
limousine;29980.0
kleinwagen;2238.0
kleinwagen;250.0
coupe;3350.0
bus;2000.0
kombi;14500.0
kleinwagen;4199.0
kleinwagen;6999.0
kleinwagen;4490.0
limousine;43900.0
cabrio;21950.0
kleinwagen;1200.0
kombi;8100.0
kombi;12650.0
kombi;2400.0
;5250.0
;350.0
limousine;14500.0
;1950.0
;0.0
coupe;24900.0
limousine;4300.0
kleinwagen;2250.0
kombi;10550.0
kleinwagen;200.0
;0.0
limousine;11500.0
kombi;890.0
cabrio;20500.0
limousine;2990.0
kombi;9600.0
kleinwagen;1099.0
limousine;1700.0
;0.0
andere;4760.0
bus;16500.0
coupe;5300.0
kleinwagen;3555.0
kleinwagen;350.0
bus;19900.0
limousine;15200.0
kleinwagen;700.0
limousine;550.0
cabrio;8700.0
kleinwagen;6990.0
limousine;5500.0
kleinwagen;1650.0
limousine;7900.0
cabrio;4290.0
limousine;14650.0
kombi;3299.0
kleinwagen;6500.0
kleinwagen;600.0
limousine;5800.0
kombi;1600.0
kombi;8000.0
kleinwagen;700.0
;1250.0
coupe;27500.0
kombi;6500.0
;899.0
bus;2790.0
kleinwagen;2390.0
limousine;9900.0
kombi;6500.0
kombi;1450.0
bus;3600.0
cabrio;2295.0
kombi;1699.0
;4400.0
limousine;950.0
kleinwagen;500.0
kombi;800.0
suv;1250.0
;2700.0
kombi;3250.0
bus;13500.0
limousine;4999.0
suv;18300.0
;0.0
kleinwagen;1000.0
;0.0
cabrio;36500.0
kleinwagen;2700.0
bus;4990.0
;150.0
cabrio;6800.0
coupe;30900.0
kleinwagen;2999.0
limousine;1500.0
;4600.0
cabrio;6500.0
limousine;28900.0
kleinwagen;1900.0
cabrio;4900.0
kombi;10490.0
kombi;28499.0
kleinwagen;2100.0
limousine;3999.0
;2600.0
kleinwagen;1350.0
limousine;600.0
;4550.0
kleinwagen;800.0
kombi;11500.0
bus;5000.0
kleinwagen;2400.0
suv;4800.0
kleinwagen;3250.0
;200.0
kombi;11800.0
kombi;2800.0
kombi;3500.0
;50.0
limousine;9499.0
kombi;3500.0
kleinwagen;1999.0
kombi;1500.0
limousine;400.0
bus;12950.0
kleinwagen;2150.0
coupe;4999.0
kombi;5200.0
kleinwagen;8200.0
limousine;0.0
limousine;9099.0
kleinwagen;8200.0
coupe;2000.0
kleinwagen;750.0
;2099.0
;150.0
kleinwagen;1190.0
bus;1200.0
limousine;3000.0
kleinwagen;1150.0
limousine;13980.0
bus;6499.0
limousine;3499.0
limousine;0.0
kombi;8850.0
bus;4000.0
limousine;0.0
kleinwagen;3200.0
bus;1990.0
kleinwagen;150.0
limousine;7199.0
limousine;16299.0
coupe;1999.0
;1500.0
cabrio;3800.0
suv;9990.0
kombi;13800.0
limousine;0.0
kleinwagen;2150.0
bus;2500.0
kombi;15750.0
kombi;990.0
kleinwagen;700.0
kombi;750.0
;8500.0
;12000.0
limousine;11800.0
bus;2700.0
kleinwagen;1650.0
kleinwagen;999.0
suv;21500.0
cabrio;3800.0
limousine;800.0
limousine;11900.0
kleinwagen;1500.0
andere;450.0
kombi;1100.0
suv;2100.0
kleinwagen;5350.0
limousine;6000.0
kleinwagen;1899.0
kombi;2000.0
limousine;41900.0
coupe;5990.0
limousine;4499.0
kleinwagen;1600.0
limousine;2999.0
limousine;7800.0
limousine;2900.0
limousine;1999.0
kleinwagen;8799.0
limousine;970.0
kombi;1599.0
bus;750.0
limousine;1000.0
suv;10500.0
;5900.0
limousine;12000.0
cabrio;7400.0
suv;1698.0
kleinwagen;1850.0
;7990.0
limousine;4500.0
kleinwagen;1480.0
bus;8450.0
;1650.0
coupe;3700.0
suv;14800.0
kombi;5000.0
coupe;21000.0
bus;7500.0
kombi;14750.0
limousine;2200.0
;10100.0
;1750.0
kombi;2250.0
kombi;15500.0
limousine;1900.0
coupe;15000.0
coupe;2300.0
limousine;2300.0
limousine;12999.0
cabrio;24800.0
bus;7800.0
kleinwagen;6200.0
kleinwagen;5300.0
kombi;1849.0
kleinwagen;1800.0
kleinwagen;2100.0
suv;9900.0
kombi;1700.0
limousine;950.0
limousine;800.0
bus;500.0
limousine;11850.0
kombi;890.0
;250.0
kombi;5900.0
kombi;600.0
limousine;2500.0
limousine;1299.0
kombi;750.0
bus;4500.0
suv;4000.0
kleinwagen;950.0
;3900.0
kleinwagen;4200.0
limousine;5950.0
limousine;2650.0
kombi;9500.0
kleinwagen;9250.0
kombi;850.0
limousine;2990.0
limousine;16000.0
kleinwagen;499.0
limousine;2500.0
limousine;3499.0
kleinwagen;5500.0
;400.0
limousine;1699.0
kleinwagen;2400.0
limousine;2999.0
limousine;13800.0
