brand;brandcount
alfa_romeo;1184
audi;16674
bmw;20540
chevrolet;923
chrysler;745
citroen;2633
dacia;455
daewoo;283
daihatsu;400
fiat;4935
ford;13090
honda;1429
hyundai;1830
jaguar;303
jeep;406
kia;1280
lada;98
lancia;243
land_rover;388
mazda;2941
mercedes_benz;17925
mini;1708
mitsubishi;1519
nissan;2564
opel;20416
peugeot;5695
porsche;1141
renault;9144
rover;262
saab;261
seat;3531
skoda;2922
smart;2759
sonstige_autos;1966
subaru;400
suzuki;1195
toyota;2385
trabant;294
volkswagen;40670
volvo;1721
