fueltype;gearbox;price
benzin;manuell;480.0
diesel;manuell;18300.0
diesel;automatik;9800.0
benzin;manuell;1500.0
diesel;manuell;3600.0
benzin;manuell;650.0
benzin;manuell;2200.0
benzin;manuell;0.0
benzin;manuell;14500.0
;manuell;999.0
benzin;manuell;2000.0
diesel;manuell;2799.0
benzin;manuell;999.0
;manuell;2500.0
diesel;manuell;17999.0
benzin;;450.0
benzin;;300.0
benzin;automatik;1750.0
diesel;manuell;7550.0
benzin;manuell;1850.0
benzin;manuell;10400.0
benzin;automatik;3699.0
benzin;manuell;2900.0
benzin;manuell;450.0
benzin;manuell;500.0
diesel;automatik;2500.0
;manuell;5555.0
benzin;manuell;6900.0
benzin;manuell;1990.0
benzin;manuell;690.0
diesel;automatik;3300.0
benzin;manuell;899.0
benzin;;245.0
benzin;automatik;18000.0
diesel;automatik;3500.0
benzin;manuell;350.0
;manuell;1600.0
diesel;;1500.0
diesel;manuell;11900.0
diesel;manuell;1500.0
benzin;;0.0
;automatik;7500.0
diesel;automatik;12500.0
benzin;manuell;6990.0
benzin;automatik;3900.0
benzin;manuell;590.0
diesel;manuell;7999.0
benzin;automatik;2100.0
benzin;manuell;7750.0
diesel;automatik;13500.0
benzin;manuell;14800.0
diesel;manuell;2000.0
;manuell;1400.0
diesel;automatik;7999.0
;manuell;4700.0
diesel;manuell;550.0
benzin;automatik;39600.0
benzin;automatik;3000.0
;manuell;2399.0
benzin;manuell;1000.0
;manuell;1.0
benzin;manuell;200.0
diesel;automatik;7499.0
benzin;manuell;5500.0
diesel;automatik;7000.0
benzin;manuell;14999.0
;manuell;10900.0
benzin;manuell;9700.0
benzin;manuell;2100.0
benzin;automatik;1280.0
;;1200.0
benzin;manuell;800.0
;manuell;2300.0
benzin;manuell;750.0
benzin;manuell;7999.0
diesel;manuell;6600.0
benzin;manuell;7999.0
diesel;manuell;1400.0
diesel;manuell;800.0
diesel;manuell;5000.0
diesel;automatik;20300.0
benzin;manuell;150.0
benzin;manuell;250.0
;manuell;350.0
benzin;manuell;600.0
diesel;manuell;3300.0
benzin;automatik;1600.0
diesel;manuell;8000.0
diesel;manuell;1800.0
benzin;manuell;6800.0
benzin;manuell;2990.0
diesel;manuell;1.0
diesel;manuell;2400.0
benzin;automatik;1222.0
;;250.0
benzin;manuell;14500.0
;;8390.0
diesel;manuell;3850.0
diesel;automatik;23490.0
;manuell;6450.0
benzin;automatik;1700.0
diesel;manuell;4290.0
diesel;manuell;1500.0
benzin;manuell;499.0
benzin;automatik;22999.0
diesel;manuell;6500.0
diesel;manuell;900.0
benzin;automatik;650.0
;manuell;300.0
benzin;manuell;3399.0
benzin;manuell;1300.0
benzin;manuell;900.0
diesel;automatik;7300.0
benzin;manuell;8599.0
benzin;;350.0
benzin;manuell;0.0
diesel;automatik;5900.0
benzin;manuell;6300.0
benzin;manuell;3500.0
benzin;;0.0
diesel;manuell;5950.0
benzin;manuell;1699.0
benzin;manuell;4699.0
;manuell;400.0
benzin;manuell;9290.0
benzin;manuell;7000.0
benzin;manuell;1199.0
benzin;manuell;1750.0
benzin;manuell;1000.0
benzin;automatik;1800.0
benzin;manuell;8000.0
diesel;manuell;1100.0
diesel;automatik;2990.0
benzin;manuell;300.0
;;3390.0
diesel;manuell;2750.0
diesel;manuell;6990.0
benzin;manuell;4800.0
diesel;automatik;14499.0
;manuell;1450.0
diesel;manuell;4300.0
benzin;manuell;2499.0
diesel;manuell;3450.0
benzin;manuell;350.0
diesel;automatik;3550.0
diesel;manuell;8250.0
benzin;manuell;800.0
;manuell;1500.0
diesel;automatik;41900.0
diesel;automatik;4200.0
benzin;;150.0
benzin;manuell;1000.0
;manuell;300.0
benzin;manuell;800.0
benzin;manuell;2300.0
diesel;automatik;4000.0
benzin;;6799.0
lpg;manuell;0.0
benzin;manuell;9450.0
;;0.0
diesel;manuell;14500.0
diesel;manuell;6890.0
benzin;automatik;7500.0
benzin;manuell;800.0
;manuell;1499.0
benzin;manuell;500.0
diesel;;1495.0
benzin;manuell;300.0
;manuell;1200.0
benzin;manuell;850.0
diesel;manuell;8500.0
benzin;manuell;300.0
benzin;manuell;1500.0
benzin;manuell;950.0
benzin;manuell;3200.0
diesel;manuell;11890.0
benzin;automatik;2900.0
benzin;manuell;19750.0
benzin;manuell;9800.0
benzin;manuell;1990.0
diesel;automatik;10500.0
diesel;manuell;11000.0
benzin;manuell;300.0
diesel;automatik;2390.0
benzin;automatik;16449.0
benzin;manuell;2999.0
benzin;automatik;3000.0
benzin;manuell;14300.0
benzin;manuell;5999.0
diesel;automatik;3700.0
diesel;manuell;8999.0
;;14000.0
benzin;automatik;25000.0
benzin;manuell;2790.0
benzin;manuell;13400.0
benzin;manuell;4900.0
benzin;automatik;11299.0
benzin;manuell;550.0
diesel;manuell;1400.0
benzin;manuell;1200.0
diesel;manuell;9500.0
diesel;manuell;1800.0
;manuell;2800.0
diesel;;3200.0
benzin;manuell;1350.0
diesel;automatik;11000.0
diesel;manuell;1999.0
benzin;manuell;6900.0
benzin;automatik;1600.0
diesel;automatik;12999.0
diesel;automatik;18400.0
benzin;manuell;999.0
benzin;manuell;14900.0
benzin;manuell;500.0
benzin;manuell;1200.0
benzin;manuell;1250.0
benzin;manuell;370.0
;manuell;1000.0
benzin;manuell;350.0
diesel;manuell;8600.0
diesel;manuell;2100.0
benzin;manuell;2222.0
diesel;manuell;850.0
benzin;automatik;11800.0
diesel;manuell;4000.0
diesel;automatik;4650.0
benzin;manuell;1450.0
benzin;manuell;900.0
diesel;manuell;800.0
;manuell;1600.0
benzin;manuell;2800.0
diesel;manuell;5499.0
benzin;manuell;5500.0
;manuell;0.0
benzin;manuell;1000.0
diesel;manuell;22290.0
;;3750.0
diesel;manuell;1440.0
benzin;manuell;1150.0
diesel;manuell;15700.0
benzin;manuell;899.0
;;130.0
benzin;manuell;9200.0
diesel;manuell;3350.0
benzin;manuell;2700.0
benzin;automatik;800.0
benzin;manuell;10200.0
diesel;automatik;9800.0
benzin;automatik;14700.0
