vehicletype;gearbox;powerps
;manuell;0.0
coupe;manuell;190.0
suv;automatik;163.0
kleinwagen;manuell;75.0
kleinwagen;manuell;69.0
limousine;manuell;102.0
cabrio;manuell;109.0
limousine;manuell;50.0
bus;manuell;125.0
kleinwagen;manuell;101.0
limousine;manuell;105.0
kombi;manuell;140.0
kombi;manuell;115.0
kombi;manuell;131.0
suv;manuell;190.0
kleinwagen;;0.0
;;60.0
kleinwagen;automatik;75.0
bus;manuell;136.0
bus;manuell;102.0
coupe;manuell;160.0
limousine;automatik;231.0
;manuell;90.0
kleinwagen;manuell;50.0
limousine;manuell;118.0
kombi;automatik;193.0
;manuell;125.0
limousine;manuell;99.0
bus;manuell;50.0
kleinwagen;manuell;60.0
limousine;automatik;113.0
;manuell;60.0
limousine;;0.0
limousine;automatik;218.0
limousine;automatik;122.0
;manuell;75.0
andere;manuell;75.0
;;0.0
andere;manuell;129.0
bus;manuell;70.0
;;0.0
limousine;automatik;306.0
limousine;automatik;231.0
limousine;manuell;95.0
kleinwagen;automatik;61.0
kleinwagen;manuell;75.0
limousine;manuell;177.0
kombi;automatik;193.0
;manuell;80.0
bus;automatik;109.0
cabrio;manuell;170.0
;manuell;90.0
;manuell;55.0
limousine;automatik;143.0
kombi;manuell;0.0
kombi;manuell;0.0
coupe;automatik;306.0
cabrio;automatik;61.0
;manuell;64.0
limousine;manuell;101.0
suv;manuell;286.0
coupe;manuell;102.0
limousine;automatik;232.0
kleinwagen;manuell;60.0
limousine;automatik;105.0
cabrio;manuell;218.0
;manuell;101.0
coupe;manuell;160.0
suv;manuell;105.0
limousine;automatik;109.0
coupe;;0.0
kleinwagen;manuell;0.0
;manuell;150.0
kleinwagen;manuell;50.0
kombi;manuell;156.0
limousine;manuell;105.0
kleinwagen;manuell;80.0
andere;manuell;82.0
;manuell;90.0
bus;manuell;109.0
limousine;automatik;204.0
;manuell;75.0
kombi;manuell;155.0
kleinwagen;manuell;54.0
limousine;manuell;75.0
kombi;manuell;150.0
kombi;automatik;122.0
suv;manuell;185.0
bus;manuell;87.0
kleinwagen;manuell;82.0
bus;manuell;113.0
limousine;manuell;113.0
limousine;manuell;0.0
limousine;automatik;180.0
;;60.0
kleinwagen;manuell;86.0
;;0.0
limousine;manuell;131.0
limousine;automatik;143.0
bus;manuell;84.0
kleinwagen;automatik;102.0
bus;manuell;0.0
kombi;manuell;109.0
limousine;manuell;101.0
coupe;automatik;303.0
limousine;manuell;163.0
kombi;manuell;125.0
limousine;automatik;102.0
cabrio;manuell;105.0
coupe;manuell;224.0
kombi;manuell;101.0
;manuell;90.0
limousine;automatik;235.0
cabrio;manuell;200.0
kleinwagen;;0.0
;manuell;0.0
kombi;automatik;178.0
limousine;manuell;265.0
coupe;manuell;160.0
kleinwagen;;0.0
limousine;manuell;163.0
kleinwagen;manuell;77.0
bus;manuell;110.0
limousine;manuell;144.0
kleinwagen;manuell;86.0
limousine;manuell;120.0
kleinwagen;manuell;60.0
limousine;manuell;75.0
limousine;manuell;54.0
limousine;automatik;286.0
;manuell;0.0
bus;manuell;75.0
kombi;automatik;170.0
kleinwagen;manuell;54.0
;;0.0
kombi;manuell;131.0
kombi;manuell;75.0
cabrio;manuell;116.0
limousine;automatik;170.0
limousine;manuell;136.0
limousine;manuell;90.0
limousine;manuell;110.0
limousine;manuell;120.0
limousine;manuell;122.0
kombi;automatik;184.0
bus;manuell;109.0
kleinwagen;manuell;54.0
kombi;manuell;126.0
suv;automatik;204.0
kombi;automatik;204.0
;;0.0
kleinwagen;manuell;75.0
;manuell;0.0
limousine;manuell;88.0
limousine;manuell;160.0
kombi;automatik;163.0
kleinwagen;;60.0
bus;manuell;101.0
cabrio;manuell;170.0
;;0.0
;manuell;136.0
limousine;manuell;170.0
suv;automatik;194.0
limousine;manuell;0.0
kleinwagen;manuell;140.0
kleinwagen;manuell;0.0
kombi;;64.0
kleinwagen;manuell;0.0
;manuell;75.0
limousine;manuell;69.0
bus;manuell;131.0
kombi;manuell;0.0
limousine;manuell;75.0
limousine;manuell;115.0
kleinwagen;manuell;64.0
bus;manuell;116.0
coupe;automatik;170.0
cabrio;manuell;305.0
cabrio;manuell;150.0
kleinwagen;manuell;80.0
bus;automatik;150.0
limousine;manuell;131.0
bus;manuell;0.0
kombi;automatik;197.0
kombi;automatik;110.0
kombi;manuell;0.0
;automatik;75.0
limousine;manuell;120.0
kleinwagen;manuell;80.0
kombi;automatik;179.0
bus;manuell;105.0
limousine;;235.0
coupe;automatik;305.0
limousine;manuell;90.0
limousine;manuell;170.0
bus;manuell;102.0
limousine;automatik;250.0
andere;manuell;75.0
kleinwagen;manuell;88.0
coupe;manuell;45.0
kombi;manuell;131.0
kombi;manuell;90.0
;manuell;75.0
kombi;;0.0
kleinwagen;manuell;60.0
kombi;automatik;231.0
;manuell;110.0
cabrio;manuell;163.0
limousine;automatik;0.0
kombi;automatik;179.0
kombi;automatik;313.0
limousine;manuell;75.0
limousine;manuell;265.0
kleinwagen;manuell;75.0
kleinwagen;manuell;45.0
limousine;manuell;125.0
kleinwagen;manuell;54.0
kombi;manuell;165.0
limousine;manuell;88.0
coupe;manuell;197.0
;manuell;0.0
cabrio;manuell;98.0
;manuell;54.0
limousine;automatik;218.0
bus;manuell;115.0
kombi;automatik;150.0
kleinwagen;manuell;75.0
;manuell;60.0
kombi;manuell;115.0
kombi;manuell;90.0
limousine;manuell;75.0
kombi;manuell;122.0
limousine;manuell;170.0
kombi;manuell;115.0
suv;manuell;41.0
kombi;manuell;150.0
;;75.0
bus;manuell;109.0
kleinwagen;manuell;75.0
limousine;manuell;170.0
coupe;manuell;102.0
kombi;;0.0
kombi;manuell;150.0
bus;manuell;130.0
kleinwagen;manuell;75.0
bus;automatik;114.0
coupe;manuell;0.0
limousine;automatik;140.0
limousine;automatik;211.0
limousine;manuell;101.0
limousine;manuell;75.0
kleinwagen;manuell;54.0
limousine;manuell;177.0
limousine;automatik;286.0
kleinwagen;manuell;56.0
kleinwagen;automatik;90.0
coupe;manuell;265.0
kleinwagen;manuell;90.0
kleinwagen;manuell;105.0
limousine;manuell;101.0
kombi;manuell;118.0
kleinwagen;manuell;75.0
cabrio;manuell;113.0
bus;manuell;75.0
;manuell;0.0
limousine;manuell;0.0
kombi;manuell;140.0
kombi;manuell;131.0
bus;automatik;140.0
kombi;manuell;101.0
limousine;automatik;184.0
limousine;automatik;326.0
limousine;manuell;116.0
coupe;automatik;265.0
kleinwagen;manuell;201.0
limousine;manuell;90.0
limousine;manuell;75.0
suv;automatik;224.0
bus;manuell;140.0
cabrio;manuell;170.0
limousine;automatik;235.0
coupe;manuell;116.0
suv;manuell;101.0
kombi;automatik;150.0
cabrio;;115.0
;manuell;109.0
coupe;manuell;286.0
kleinwagen;manuell;95.0
limousine;manuell;0.0
;automatik;75.0
coupe;automatik;213.0
limousine;manuell;69.0
coupe;automatik;140.0
;;0.0
limousine;manuell;102.0
suv;manuell;150.0
bus;manuell;0.0
coupe;manuell;179.0
limousine;manuell;90.0
limousine;manuell;122.0
kleinwagen;manuell;58.0
limousine;manuell;107.0
;;83.0
;;0.0
limousine;;75.0
bus;manuell;69.0
limousine;manuell;75.0
limousine;manuell;174.0
bus;manuell;100.0
limousine;manuell;125.0
kleinwagen;manuell;107.0
coupe;manuell;125.0
cabrio;manuell;220.0
limousine;manuell;150.0
;;0.0
coupe;manuell;88.0
kombi;manuell;0.0
;;0.0
bus;manuell;140.0
kleinwagen;manuell;54.0
limousine;manuell;140.0
coupe;manuell;265.0
cabrio;automatik;170.0
;manuell;85.0
kleinwagen;automatik;75.0
limousine;manuell;185.0
cabrio;manuell;88.0
kleinwagen;automatik;54.0
kombi;manuell;73.0
kleinwagen;manuell;54.0
kleinwagen;automatik;41.0
kombi;manuell;77.0
coupe;manuell;170.0
kombi;manuell;170.0
bus;manuell;90.0
kombi;manuell;109.0
kleinwagen;manuell;50.0
cabrio;manuell;150.0
;manuell;0.0
limousine;manuell;101.0
limousine;manuell;90.0
bus;manuell;75.0
;;0.0
limousine;automatik;170.0
kombi;automatik;125.0
bus;manuell;116.0
kombi;automatik;177.0
limousine;manuell;0.0
kleinwagen;manuell;75.0
limousine;manuell;143.0
suv;manuell;105.0
kombi;manuell;101.0
kleinwagen;manuell;54.0
kombi;manuell;102.0
limousine;manuell;231.0
kleinwagen;manuell;45.0
kombi;manuell;90.0
bus;automatik;116.0
kleinwagen;manuell;0.0
kleinwagen;manuell;75.0
coupe;manuell;192.0
kleinwagen;manuell;68.0
kleinwagen;manuell;90.0
;;0.0
kombi;manuell;131.0
limousine;manuell;66.0
cabrio;manuell;115.0
limousine;;299.0
bus;;0.0
kleinwagen;manuell;0.0
coupe;manuell;218.0
limousine;manuell;125.0
cabrio;;0.0
;manuell;75.0
cabrio;manuell;74.0
kleinwagen;manuell;60.0
kombi;manuell;110.0
kombi;manuell;163.0
kleinwagen;manuell;54.0
kleinwagen;manuell;58.0
limousine;manuell;125.0
kombi;automatik;140.0
kleinwagen;manuell;52.0
kleinwagen;manuell;69.0
kleinwagen;manuell;115.0
kombi;automatik;163.0
suv;automatik;510.0
limousine;manuell;143.0
bus;manuell;131.0
kleinwagen;manuell;77.0
kleinwagen;manuell;60.0
limousine;manuell;147.0
limousine;manuell;80.0
kleinwagen;manuell;54.0
;manuell;65.0
kombi;automatik;150.0
bus;automatik;140.0
limousine;automatik;105.0
;;0.0
limousine;manuell;122.0
kleinwagen;manuell;60.0
;;0.0
kombi;manuell;115.0
;;0.0
;manuell;310.0
limousine;manuell;125.0
kleinwagen;manuell;45.0
cabrio;automatik;71.0
limousine;manuell;95.0
cabrio;manuell;147.0
kleinwagen;manuell;45.0
limousine;manuell;75.0
kleinwagen;manuell;45.0
kleinwagen;manuell;73.0
kleinwagen;manuell;97.0
kleinwagen;manuell;65.0
bus;manuell;110.0
limousine;automatik;220.0
bus;manuell;0.0
;;75.0
;;0.0
limousine;automatik;82.0
suv;automatik;239.0
cabrio;automatik;295.0
andere;manuell;140.0
limousine;automatik;193.0
kleinwagen;automatik;179.0
;;0.0
kombi;manuell;68.0
kleinwagen;manuell;0.0
limousine;automatik;136.0
kombi;manuell;75.0
suv;manuell;80.0
kombi;manuell;0.0
cabrio;manuell;150.0
limousine;manuell;203.0
kombi;manuell;150.0
kleinwagen;manuell;75.0
limousine;automatik;150.0
limousine;automatik;82.0
;manuell;75.0
kombi;automatik;0.0
kleinwagen;manuell;50.0
