vehicletype;brand;price
;volkswagen;480.0
coupe;audi;18300.0
suv;jeep;9800.0
kleinwagen;volkswagen;1500.0
kleinwagen;skoda;3600.0
limousine;bmw;650.0
cabrio;peugeot;2200.0
limousine;volkswagen;0.0
bus;ford;14500.0
kleinwagen;volkswagen;999.0
limousine;mazda;2000.0
kombi;volkswagen;2799.0
kombi;volkswagen;999.0
kombi;volkswagen;2500.0
suv;nissan;17999.0
kleinwagen;ford;450.0
;volkswagen;300.0
kleinwagen;renault;1750.0
bus;ford;7550.0
bus;mercedes_benz;1850.0
coupe;volkswagen;10400.0
limousine;bmw;3699.0
;opel;2900.0
kleinwagen;seat;450.0
limousine;mercedes_benz;500.0
kombi;bmw;2500.0
;citroen;5555.0
limousine;honda;6900.0
bus;volkswagen;1990.0
kleinwagen;fiat;690.0
limousine;mercedes_benz;3300.0
;renault;899.0
limousine;volkswagen;245.0
limousine;bmw;18000.0
limousine;mercedes_benz;3500.0
;volkswagen;350.0
andere;opel;1600.0
;renault;1500.0
andere;volkswagen;11900.0
bus;mercedes_benz;1500.0
;opel;0.0
limousine;mercedes_benz;7500.0
limousine;bmw;12500.0
limousine;mini;6990.0
kleinwagen;smart;3900.0
kleinwagen;renault;590.0
limousine;bmw;7999.0
kombi;bmw;2100.0
;volkswagen;7750.0
bus;mercedes_benz;13500.0
cabrio;bmw;14800.0
;fiat;2000.0
;hyundai;1400.0
limousine;bmw;7999.0
kombi;opel;4700.0
kombi;opel;550.0
coupe;bmw;39600.0
cabrio;smart;3000.0
;seat;2399.0
limousine;volkswagen;1000.0
suv;sonstige_autos;1.0
coupe;bmw;200.0
limousine;audi;7499.0
kleinwagen;skoda;5500.0
limousine;volkswagen;7000.0
cabrio;bmw;14999.0
;opel;10900.0
coupe;volkswagen;9700.0
suv;honda;2100.0
limousine;mercedes_benz;1280.0
coupe;opel;1200.0
kleinwagen;volkswagen;800.0
;bmw;2300.0
kleinwagen;ford;750.0
kombi;mercedes_benz;7999.0
limousine;volkswagen;6600.0
kleinwagen;nissan;7999.0
andere;mercedes_benz;1400.0
;volkswagen;800.0
bus;mercedes_benz;5000.0
limousine;mercedes_benz;20300.0
;opel;150.0
kombi;alfa_romeo;250.0
kleinwagen;fiat;350.0
limousine;ford;600.0
kombi;mercedes_benz;3300.0
kombi;subaru;1600.0
suv;volvo;8000.0
bus;mitsubishi;1800.0
kleinwagen;ford;6800.0
bus;renault;2990.0
limousine;mercedes_benz;1.0
limousine;audi;2400.0
limousine;opel;1222.0
;ford;250.0
kleinwagen;audi;14500.0
;opel;8390.0
limousine;volkswagen;3850.0
limousine;bmw;23490.0
bus;volkswagen;6450.0
kleinwagen;mercedes_benz;1700.0
bus;opel;4290.0
kombi;ford;1500.0
limousine;audi;499.0
coupe;hyundai;22999.0
limousine;audi;6500.0
kombi;mercedes_benz;900.0
limousine;bmw;650.0
cabrio;ford;300.0
coupe;audi;3399.0
kombi;volkswagen;1300.0
;honda;900.0
limousine;bmw;7300.0
cabrio;opel;8599.0
kleinwagen;opel;350.0
;volkswagen;0.0
kombi;audi;5900.0
limousine;volkswagen;6300.0
coupe;volkswagen;3500.0
kleinwagen;volkswagen;0.0
limousine;bmw;5950.0
kleinwagen;honda;1699.0
bus;volkswagen;4699.0
limousine;opel;400.0
kleinwagen;volkswagen;9290.0
limousine;mercedes_benz;7000.0
kleinwagen;renault;1199.0
limousine;ford;1750.0
limousine;volkswagen;1000.0
limousine;bmw;1800.0
;volkswagen;8000.0
bus;opel;1100.0
kombi;mercedes_benz;2990.0
kleinwagen;opel;300.0
;bmw;3390.0
kombi;volkswagen;2750.0
kombi;skoda;6990.0
cabrio;audi;4800.0
limousine;mercedes_benz;14499.0
limousine;audi;1450.0
limousine;volkswagen;4300.0
limousine;honda;2499.0
limousine;alfa_romeo;3450.0
limousine;mercedes_benz;350.0
kombi;bmw;3550.0
bus;ford;8250.0
kleinwagen;renault;800.0
kombi;audi;1500.0
suv;mercedes_benz;41900.0
kombi;bmw;4200.0
;audi;150.0
kleinwagen;volkswagen;1000.0
;fiat;300.0
limousine;peugeot;800.0
limousine;mercedes_benz;2300.0
kombi;audi;4000.0
kleinwagen;volkswagen;6799.0
bus;opel;0.0
cabrio;bmw;9450.0
;fiat;0.0
;kia;14500.0
limousine;mercedes_benz;6890.0
suv;kia;7500.0
limousine;volkswagen;800.0
kleinwagen;mercedes_benz;1499.0
kleinwagen;renault;500.0
kombi;volkswagen;1495.0
kleinwagen;mitsubishi;300.0
;opel;1200.0
limousine;volkswagen;850.0
bus;volkswagen;8500.0
kombi;volvo;300.0
limousine;honda;1500.0
limousine;bmw;950.0
kleinwagen;seat;3200.0
bus;ford;11890.0
coupe;bmw;2900.0
cabrio;ford;19750.0
cabrio;volkswagen;9800.0
kleinwagen;ford;1990.0
bus;mercedes_benz;10500.0
limousine;opel;11000.0
bus;opel;300.0
kombi;mercedes_benz;2390.0
kombi;skoda;16449.0
kombi;bmw;2999.0
;skoda;3000.0
limousine;audi;14300.0
kleinwagen;volkswagen;5999.0
kombi;audi;3700.0
bus;volkswagen;8999.0
limousine;bmw;14000.0
coupe;ford;25000.0
limousine;audi;2790.0
limousine;bmw;13400.0
bus;volkswagen;4900.0
limousine;volkswagen;11299.0
andere;volkswagen;550.0
kleinwagen;hyundai;1400.0
coupe;volkswagen;1200.0
kombi;opel;9500.0
kombi;volkswagen;1800.0
;renault;2800.0
kombi;audi;3200.0
kleinwagen;ford;1350.0
kombi;bmw;11000.0
;nissan;1999.0
cabrio;renault;6900.0
limousine;bmw;1600.0
kombi;audi;12999.0
kombi;bmw;18400.0
limousine;volkswagen;999.0
limousine;bmw;14900.0
kleinwagen;volkswagen;500.0
kleinwagen;volkswagen;1200.0
limousine;audi;1250.0
kleinwagen;volkswagen;370.0
kombi;audi;1000.0
limousine;renault;350.0
coupe;bmw;8600.0
;opel;2100.0
cabrio;volkswagen;2222.0
;volkswagen;850.0
limousine;bmw;11800.0
bus;ford;4000.0
kombi;mercedes_benz;4650.0
kleinwagen;peugeot;1450.0
;opel;900.0
kombi;ford;800.0
kombi;seat;1600.0
limousine;volkswagen;2800.0
kombi;mercedes_benz;5499.0
limousine;bmw;5500.0
kombi;ford;0.0
suv;suzuki;1000.0
kombi;audi;22290.0
;volkswagen;3750.0
bus;lancia;1440.0
kleinwagen;renault;1150.0
limousine;volkswagen;15700.0
coupe;bmw;899.0
kombi;mercedes_benz;130.0
kombi;bmw;9200.0
bus;mercedes_benz;3350.0
kleinwagen;renault;2700.0
bus;mazda;800.0
coupe;nissan;10200.0
limousine;audi;9800.0
limousine;volkswagen;14700.0
limousine;volkswagen;1200.0
limousine;mitsubishi;895.0
kleinwagen;volkswagen;950.0
limousine;subaru;8000.0
limousine;bmw;6799.0
kleinwagen;opel;500.0
kleinwagen;volkswagen;11919.0
coupe;porsche;25900.0
kleinwagen;volkswagen;300.0
kleinwagen;audi;10800.0
limousine;opel;650.0
kombi;bmw;800.0
kleinwagen;volkswagen;1690.0
cabrio;renault;3650.0
bus;citroen;4850.0
;mitsubishi;450.0
limousine;mercedes_benz;1450.0
kombi;volkswagen;4500.0
kombi;volkswagen;3900.0
bus;volkswagen;26999.0
kombi;volkswagen;750.0
limousine;bmw;5900.0
limousine;audi;56900.0
limousine;volkswagen;1100.0
coupe;mercedes_benz;48000.0
kleinwagen;renault;8400.0
limousine;audi;1.0
limousine;volkswagen;800.0
suv;mercedes_benz;27500.0
bus;volkswagen;14950.0
cabrio;bmw;14900.0
limousine;bmw;2950.0
coupe;audi;1500.0
suv;volkswagen;12000.0
kombi;mercedes_benz;2500.0
cabrio;volkswagen;2400.0
;hyundai;4600.0
coupe;mitsubishi;6000.0
kleinwagen;ford;8950.0
limousine;opel;590.0
;ford;150.0
coupe;ford;18700.0
limousine;volkswagen;9500.0
coupe;volkswagen;11550.0
;renault;1250.0
limousine;bmw;2400.0
suv;volkswagen;16150.0
bus;volkswagen;3400.0
coupe;audi;3000.0
limousine;volkswagen;5500.0
limousine;mazda;2000.0
kleinwagen;renault;300.0
limousine;renault;890.0
;honda;2390.0
;mercedes_benz;1450.0
limousine;opel;1699.0
bus;mitsubishi;2899.0
limousine;volkswagen;4800.0
limousine;peugeot;6799.0
bus;volkswagen;3400.0
limousine;opel;2650.0
kleinwagen;renault;1000.0
coupe;audi;800.0
cabrio;audi;5299.0
limousine;mercedes_benz;7150.0
;sonstige_autos;200.0
coupe;citroen;2300.0
kombi;bmw;1600.0
;opel;350.0
bus;volkswagen;5500.0
kleinwagen;fiat;4400.0
limousine;audi;7950.0
coupe;bmw;16500.0
cabrio;bmw;8100.0
;volkswagen;3999.0
kleinwagen;volkswagen;9750.0
limousine;mazda;7700.0
cabrio;peugeot;2500.0
kleinwagen;smart;1195.0
kombi;renault;9790.0
kleinwagen;renault;1849.0
kleinwagen;smart;3300.0
kombi;volkswagen;650.0
coupe;toyota;2600.0
kombi;mercedes_benz;11700.0
bus;renault;600.0
kombi;hyundai;4950.0
kleinwagen;volkswagen;1600.0
cabrio;bmw;8499.0
;fiat;1650.0
limousine;volkswagen;1700.0
limousine;kia;5750.0
bus;renault;600.0
;volkswagen;0.0
limousine;bmw;8700.0
kombi;mercedes_benz;1200.0
bus;mazda;18880.0
kombi;bmw;11200.0
limousine;chevrolet;3550.0
kleinwagen;seat;3900.0
limousine;bmw;13849.0
suv;skoda;13200.0
kombi;skoda;2500.0
kleinwagen;skoda;2550.0
kombi;skoda;3900.0
limousine;bmw;2450.0
kleinwagen;opel;500.0
kombi;volkswagen;750.0
bus;opel;1799.0
kleinwagen;volkswagen;950.0
kleinwagen;seat;8150.0
coupe;mazda;3900.0
kleinwagen;peugeot;5500.0
kleinwagen;opel;9999.0
;volkswagen;1050.0
kombi;ford;500.0
limousine;volkswagen;699.0
cabrio;opel;999.0
limousine;audi;6250.0
bus;volkswagen;10000.0
kleinwagen;peugeot;300.0
coupe;bmw;16500.0
limousine;ford;6500.0
cabrio;sonstige_autos;49500.0
;renault;1200.0
cabrio;volkswagen;1480.0
kleinwagen;fiat;1490.0
kombi;opel;3200.0
kombi;audi;3250.0
kleinwagen;volkswagen;3400.0
kleinwagen;renault;1100.0
limousine;opel;1750.0
kombi;volkswagen;3300.0
kleinwagen;chevrolet;1350.0
kleinwagen;fiat;8250.0
kleinwagen;volkswagen;2500.0
kombi;audi;3999.0
suv;mercedes_benz;21500.0
limousine;bmw;7000.0
bus;renault;2950.0
kleinwagen;hyundai;4850.0
kleinwagen;fiat;1100.0
limousine;opel;3600.0
limousine;volkswagen;7750.0
kleinwagen;volkswagen;2950.0
;opel;400.0
kombi;bmw;6880.0
bus;volkswagen;5600.0
limousine;volkswagen;10550.0
;opel;1000.0
limousine;mercedes_benz;17500.0
kleinwagen;seat;999.0
;opel;3400.0
kombi;opel;2000.0
;citroen;2350.0
;opel;6250.0
limousine;audi;2700.0
kleinwagen;opel;500.0
cabrio;smart;5555.0
limousine;mercedes_benz;8450.0
cabrio;opel;2750.0
kleinwagen;opel;650.0
limousine;ford;680.0
kleinwagen;opel;444.0
kleinwagen;peugeot;4650.0
kleinwagen;kia;4450.0
